userName;content;score;at;appVersion;;
Barii Gilmour;lemot banget sekarang jaringan im3 jir;3;28/01/2024 11.12;82.00.05;;
Riski Riski jaya peratama;Mntap.im3;4;28/01/2024 11.10;81.13.00;;
vivofaza458 (Muhammad FazaRyanSyah);Good;5;28/01/2024 11.09;0;;
Diana Cell;sangat puas;5;28/01/2024 11.07;82.00.05;;
nenk Sari;Sinyal kaya💩mana paket makin mahal👿😒;1;28/01/2024 11.07;81.03.02;;
Yanti Ifa;Sekarang m3 setiap isi ulang kok gak dapat bonus kuota y dan koinpun gak nambah,padahal saya pelanggan lama.Apa memang sekarang begitu. Tapi kenapa dapat sms setiap pembelian pulsa dapat bonus kuota. Hem kecewa sih dg m3 yg sekarang ,,mana kuotanya sekarang muahallll😪kalo gini trus mending belii kuota di sebelah, banyak promo dan bonusny.;1;28/01/2024 11.02;0;;
Nandi Maulana;baguss;5;28/01/2024 11.01;82.00.05;;
Angga Chandra;Baik;5;28/01/2024 10.58;0;;
Elisa Juniar;Jaringannya lemot, sinyal tiba2 hilang, pulsa tiba2 habis padahal gak pernah di pake2 apa2.;1;28/01/2024 10.55;82.00.02;;
Chastury Ternate;Jaringan semakin lama semakin lemot ngabisin kuota download lagu sudah mau selesai gagal;3;28/01/2024 10.51;82.00.05;;
Phian Waruwu;MANTAP!!!!!!!;4;28/01/2024 10.49;82.00.05;;
Rmdhnn13;untuk indosat trimaksi tiba² w dikasi kuota gratis ya walaupun ga banyak² amat tapi berkat ituu w bisa kabarin pacarr w, MAKASII BANYAK BUAT INDOSAT🤗🤗;5;28/01/2024 10.46;0;;
Iyur Iyur;bagus;5;28/01/2024 10.46;82.00.02;;
Muhammad Rifqi;kadang lalod;4;28/01/2024 10.43;81.11.00;;
Monroe Sauti;Mantap;5;28/01/2024 10.42;0;;
Hari Bye;terimakasih kasih yaaa;5;28/01/2024 10.42;81.04.00;;
Sania Rifaniansyah;dari awal punya hp sampai sekarang setiaaaa samaaa Indosat, soalnyaa jaringannya bagusss, sukaaa ada kuota tambahan pulaaaaa, tpi kekurangannya cuma 1 yaitu makin sini harga paketannya mahalllllll, ayo dong Indosat kasih harga yg wajar lagiii hhii. I LOVE YOU INDOSAT🤍🤍 Semoga ulasan akuu dibaca yaa!🤍🤍;5;28/01/2024 10.39;0;;
Baharuddin Sabennu;mantap;5;28/01/2024 10.36;82.00.03;;
Putri Wahyuni;Awal awal aja bagusnya, smpai rela ganti kartu dari Telkomsel ke IM3 eh makin lama di pake makin lemot parah udah paket internet nya dimahalin Trs gak ad hujan gak ad bencana apapun sinyal mendadak hilang gitu aja dan sering kejadian kayak gtu, khusus di kota Padang tolong diperhatikan lagi Harga paket di naikin tapi jaringan makin bodoh parah nyesel pindah ke IM3 sumpah;1;28/01/2024 10.33;82.00.02;;
Luluk Fajriah;penggunaan baru;1;28/01/2024 10.32;82.00.05;;
Yuni Bms;Saya pengguna m3 sudah lama dulu sebelum bnyak tower provider lain sinyal bagus sekarang sinyal kurang bagus bahkan sering gak ada sinyal;2;28/01/2024 10.25;82.00.05;;
Mo Moy;katanya ada bonusss kok nggk ada nggak seauaii;2;28/01/2024 10.23;82.00.05;;
Arindo bimantara;DARI DULU MY IM3 MENYEDIAKAN LAYANAN 4.5G LAG GAK PAKETAN MAHAL KALAU PROMO NANGGUNG MASIH MAHAL SIGNAL SERING DC AMPUN LAG LAG DAN LAG BUAT M3 KACAU;1;28/01/2024 10.22;82.00.03;;
Joni Iskandar;Maaf saya kasi bintang empat dulu ya kerena di tempat kami kalo mati lampu sering koneksi internet nya ilang dan sering ilang tiba2 mohon perbaikan nya sebenar nya saya suka sih dengan ada nya Indosat ini tapi tolong lah perbaiki jaringan nya oke itu aja ulasan dari saya terima kasi atas kerja samanya;4;28/01/2024 10.22;82.00.02;;
Satria cristianus;🤫🧏;5;28/01/2024 10.21;82.00.05;;
MUHAMMAD ROIS;Legs koneksi;1;28/01/2024 10.21;82.00.04;;
Moch samsul Arifin;sangat baik;5;28/01/2024 10.20;82.00.04;;
Muhammad Adisaputra;No komen;1;28/01/2024 10.18;82.00.02;;
Susi Lawati;ok;5;28/01/2024 10.15;82.00.05;;
Butur Gaming;Jaringan Indosat koyok telek, murah sich murah, tp klw error terus buat apa jga,;1;28/01/2024 10.15;82.00.04;;
Zainal Enal;aku tidak menerima 1 GB yah;1;28/01/2024 10.13;82.00.02;;
Hijrah Yok;Jaringan nya lemot banget minn,gimn nih....;1;28/01/2024 10.12;82.00.05;;
Nugroho Rekar;lumayan saat urgent.. sayang signyal kurang bagus;4;28/01/2024 10.12;81.16.00;;
Saepudin Kmkz;Jaringan nya jelek banget cape sendiri guaa;1;28/01/2024 10.12;82.00.02;;
Baby Pellow;wow;5;28/01/2024 10.08;82.00.05;;
Much Triyadi;Kuota beli 20 gb 50rbu,cman di pakai main game masak tinggal 800mb dlm wktu 2 hari. Sinyal jga jelek skrg,sering ilang. G prnah daftar kuota darurat,tba2 aktif sndri kuota darurat.;1;28/01/2024 10.08;81.16.00;;
Indut Indut;sangat marik bli paket;3;28/01/2024 10.03;0;;
Elisabeth Gracia;wow;5;28/01/2024 09.57;82.00.05;;
Bintang Esp;Mantappp....👍👍👍;5;28/01/2024 09.55;82.00.05;;
muhroji official;oke;5;28/01/2024 09.55;82.00.04;;
Risman Risman;Semakin hari makin kacau jaringan Indosat ... Leg trus jaringan nya perbaiki lah dikit leg diki5 leg...kouta nya mahal jaringan leg;3;28/01/2024 09.55;82.00.05;;
Ayu gilang2017;bagus;4;28/01/2024 09.52;82.00.05;;
Afnan;Eror mulu jig mau beli kuota padahal udh update update tuh benerin tu masalah eror gitu;3;28/01/2024 09.47;82.00.05;;
Siswati Joko;Jaringan suka tiba-tiba hilang, jaringan tiba-tiba tidak bisa di gunakan padahal kouta masih ada;5;28/01/2024 09.46;82.00.05;;
Fattah Nur Wahid;Masa baru beli kartu im3 ada yang nomernya sama yang bener aja, rugi dong;1;28/01/2024 09.44;82.00.03;;
Muhamad Ilyas12;bgus;5;28/01/2024 09.41;82.00.05;;
Si Panjul;Jaringan data sering error, sinyal doang full, tapi internetnya kagak bisa dipake. Harusnya kalo punya moral, Indosesat wajib kasih kompensasi ke costumer;1;28/01/2024 09.40;0;;
Bahaur Tengah;Kuata mahal dari yang lain;1;28/01/2024 09.35;0;;
Realme Jaya;sebelum d update qt bs ngecek atau beli kuota atw plsa lewat aplikasi ini walau abis kuota.setelah d update malah harus punya kuota dulu baru bisa d buka.mana tiba2 pulsa kepotong sendiri 10ribu kalo terlambat beli paket.semoga bisa diperbaiki;2;28/01/2024 09.35;82.00.02;;
Hqi _;woeee benerin jaringan luuu;1;28/01/2024 09.33;82.00.03;;
harides haryanto purba;bermanfaat;5;28/01/2024 09.31;82.00.05;;
Sage Mode;tidak begitu buruk;5;28/01/2024 09.24;0;;
Angga Pratama;saya sangat senang;5;28/01/2024 09.18;82.00.03;;
Diana Sarean;tolong aplikasi ini hapus saja saya ga bisa nonton nge leg aplikasi ini tidak berfungsi mending XL;1;28/01/2024 09.17;0;;
AHMAD HIDAYAT;mantap;5;28/01/2024 09.17;82.00.05;;
Ahmad Suhaemi;ok;5;28/01/2024 09.11;81.10.01;;
Abdul Kahpi;cukup baik;4;28/01/2024 09.09;82.00.02;;
Romi ramadani;Aplikasi tidak bisa dibuka selalu gangguan Aplikasi taik dk bisa dibuka, masih tidak bisa aplikasi tidak berguna;1;28/01/2024 09.04;82.00.05;;
Mom's albi albi;mantap;5;28/01/2024 09.03;82.00.05;;
Irwan Maulana Yusup;perbanyak promo lurd 😄 Edit: makasih promonya 👍🏿😁;5;28/01/2024 08.59;82.00.03;;
Manusia Stick :l;Kuota masi ada tapi yang kesedot pulsa biasanya apl aneh, trs tiba tiba jaringannya berubah E dan pulsa biasanya kesedot report aplikasi ny;1;28/01/2024 08.57;81.04.00;;
ipa saripah;sangat bagus dan sangat membantu;5;28/01/2024 08.51;82.00.05;;
Keceng nguox;mantul;5;28/01/2024 08.49;82.00.04;;
Dede rosadi;semoga lancar;5;28/01/2024 08.42;0;;
Moh.duwi123 Subi;sangat baik;2;28/01/2024 08.42;82.00.05;;
salsha nabila;SINYAL SAMPAHHHHH;1;28/01/2024 08.39;82.00.02;;
Agoenk Top Plus;sinyal untuk internet mulai tidak stabil ... sedikit penurunan pada speed bandwith;4;28/01/2024 08.37;82.00.03;;
Buldi Sonda;Beast of the beast😊♥️👍🌠;5;28/01/2024 08.37;82.00.02;;
Bah Salma;Mantap;5;28/01/2024 08.34;81.04.00;;
Baim Baim;Kssih atuh geratisaya bag;1;28/01/2024 08.33;0;;
Aqiqoh Sengkaling NH Malang;mantap;5;28/01/2024 08.27;82.00.05;;
wah yuni;Heran lama lama kok tambah mahal yah. Kalau kayak gini mah mending pindah kartu x yah hadehhh;1;28/01/2024 08.26;81.16.00;;
Igor Ganteng;Apk tolol gblok;2;28/01/2024 08.24;0;;
blend tonzzz;sinyal nya makin kesini lola nya parah banget apa perlu pindah ke yg lain buat menikmati jaringan yg stabil 😪bapuk bener emg ini sinyal indosat kuota doang besar sinyal nya kacau parah;1;28/01/2024 08.20;82.00.05;;
Ina Zein;baru coba mudah2han gk ribet;5;28/01/2024 08.17;82.00.04;;
Agnesya Greis;Kok kualitas jaringan im3 makin buruk,, habis itu kita berlangganan bertahun2 bukannya semakin murah malah semakin mahal... semakib berlangganan harga paketnya semakin mahal.. naik terus harga paket2nyaa..😮‍💨😮‍💨;1;28/01/2024 08.13;81.16.00;;
Hendrik Glory;Gak bisa pindah kartu secundar ke utama..ribet gak kayak biasanya;1;28/01/2024 08.06;82.00.05;;
Muhibban Arinal;Saya begitu buka apl ini huh sktop mendapatkan kuota 1gb;5;28/01/2024 08.06;0;;
Kasri Yanir;asik banyak bonus terbaik;5;28/01/2024 08.05;82.00.03;;
Edward Siahaan;Makin banyak kecurangan di provider im3 sangat merugikan Paket baru beli sudAh habis dalam 1 minggu padahal hanya pemakaian sdikit... Kalau tidak bisa diproses kita liat saja nanti sebulan 2 kali isi dan habis cm 1 minggu tanpa ada pemberitahuan data kemana, sangat merugikan permainan curang begini;1;28/01/2024 08.04;81.16.00;;
Jakaria jakaria;Jaringan buruk,gak seperti telkomsel.....;1;28/01/2024 07.56;0;;
Daniel Pasha Tanuwijaya;Najis sinyal jelek gini bikin kartu nomor, niat kagak?;1;28/01/2024 07.56;0;;
Syaekhu Khu;Bila perlu tarif kuotanya jangan trlalu tinggi;4;28/01/2024 07.49;81.15.00;;
Edward Martin Siahaan;Paket data hilang baru dipake 7 hari masa Uda lgsg hilang smua mana pemberitahuan pemakaian tidak jelas,,, kebanyakan maling karyawan di provider im3 ini... Jangan ditipu2 kami bos;1;28/01/2024 07.46;82.00.05;;
Satria Aja;Sinyal sering jelek di hari minggu;1;28/01/2024 07.44;82.00.02;;
Lastriramdanii99 Lastriramdanii99;toppppp;5;28/01/2024 07.41;82.00.05;;
Eny Sukesi;Bagus;4;28/01/2024 07.38;82.00.05;;
Dhankz 21;PARAH BANGET, NGISI PAKET GAK MASUK-MASUK, SINYAL LEMOT, ISI VOUCHER GAK BISA TERUS. BERBENAH DOOOOONG, MAKIN PARAH AJA myIM3. 👎👎👎👎👎👎👎👎👎👎👎👎;5;28/01/2024 07.35;82.00.02;;
FNN Channel;Jaringan terburuk di indonesia.. Jaringan indosat parah banget, hujan kecil gangguan hujan deras apalagi.. Ga hujan pun gangguan berjam2.. Paket mahal kualitas murahan 👎👎👎;1;28/01/2024 07.34;0;;
Zukriadi uki;Kok sdh update ngk bisa msk parah nih aplikasih, sudah hub adminya tetap aja ngk ada jalan keluarnya adminya bikin pusing mala;1;28/01/2024 07.32;82.00.05;;
BAYU APRIANDILA;Indosat bangke. Yang bener napa.. udah mah suka nyuri pulsa...layanan internet jelek amat ..gak di bandung gak di yogya ilang mulu layanannya... Anjay sekarang ad kompensasi buat masalah jaringan..buat tanggal 26 dapet sms di kasih kuota..walau cuma 1G y udah bagus.. Tapi tetep..over all sinyal nya ilang mulu gua tambah dah jadi bintang 3;3;28/01/2024 07.32;0;;
Amalia Rahmawati;WOYYY ILAHHH JARINGANNYA JELEK BGT SI, KESEL DEH HARGA MAHAL TP KUALITASNYA BAWAH BGT!;1;28/01/2024 07.31;0;;
Saiful;aplikasi tidak bisa dibuka, macet pada logo myim3. bisa dibuka tapi pakai provider lain;1;28/01/2024 07.30;82.00.05;;
babang 03;Bagus;5;28/01/2024 07.30;82.00.05;;
Wadi Nasrul;sukses terus;5;28/01/2024 07.28;82.00.02;;
Yanti Finka;Tadinya ku senang karna banyak promo tapi aneh masa kemarin ilang paket ku baru isi tgl 22 paket 70 gb ilang tinggal nol awalnya jaringan eror ketika jaringan kembali paket nya ikut hilang aneh tapi nyata tolong balikan hak paket ku. Beli pake uang, malah begini;4;28/01/2024 07.24;82.00.04;;
Ahmad Shona Munadi;Enak ga enak Indosat lagi bagus ² lagi jelek²;3;28/01/2024 07.23;82.00.03;;
Muhammad faizal Rahmad al-isro;aplikasi ini sangat bagus;4;28/01/2024 06.59;82.00.03;;
Annisa icha;Benar2 aneh pulsa dr banyak menjadi habis,padahal kuota banyak,ternyata setiap sms yg masuk dari myIM3 pulsa kita yg dipotong,benar2 kecewa;3;28/01/2024 06.57;82.00.02;;
Ani Ani;simple Dan praktis;4;28/01/2024 06.56;82.00.05;;
Mass Chill;AWAKMU LEE LEK RAK NIAT GAWE KERTU BLOKIREN MAWON LEEEE. MESAKKE SENG GOWO TUKUNE KARO DUWET ORK KARO GODONG LET.NDANG DI BENEKKE MESAKKE NDANGGGGG NGUUEEKKKKK.;1;28/01/2024 06.54;81.10.01;;
Pepen Pepen;lumayan bagus jaringannya;5;28/01/2024 06.53;82.00.05;;
Fatimah Zulfa;m3the best banyak promo lncar sinyal;5;28/01/2024 06.50;81.16.00;;
inui Seishu;Indosat kok ngelag Mulu sih? Kuota gua jadi gak kepake, gamau tau sih harus ada kuota gratis kalo gini mulu;1;28/01/2024 06.49;82.00.02;;
Wagiman Gunawan;im3 memang ok..selalu memberikan pelayanan yg puas buat pelanggannya.;5;28/01/2024 06.47;0;;
Romansyah Agus;Nudah untuk ce kuota dan beli pulsa garibet;5;28/01/2024 06.46;82.00.02;;
Adriano Zaki Baridwan02;Dari harga sih lumayan tapi dari segi fitur jaringan dan semacamnya, kalah sama operator sebelah misal, fitur pulsa aman(Safe credit) itu gak ada di Indosat padahal penting banget tuh untuk beli paket tanpa WiFi. Dari jaringan juga kurang saat main game misal (ML / Free Fire) disaat bermain tiba tiba sinyal tu naik tuh terus gak lama kemudian kembali lagi tuh, tapi ya its okay bagi gw 😁👍👍👍;3;28/01/2024 06.46;82.00.05;;
Rudi Apriliyanto;Bagusan tampilan apk yang lama lebih detail;1;28/01/2024 06.42;0;;
Dede Rosadi;aplikasi ini sangat bagus;5;28/01/2024 06.42;82.00.05;;
Muhammad Ainul;Provider badut sinyal bagus internet 2g.. Gw janji gak bakal pakek provider badut ini;1;28/01/2024 06.41;0;;
elvin elvin;sinyal semakin hari semakin buruk . pindah operator aja;1;28/01/2024 06.28;82.00.04;;
Elmonz Hayon;Game ular tangga macam sudah di setting,paket ku 500 MB terbuang sia sia (🐶 🐷);1;28/01/2024 06.26;81.16.00;;
Evie Novianti;Indosat slalu gangguan di kala cuaca buruk, pdahal bru mndung doang loading mlu, gmana pas ujan badai, psti gk brguna sma sekali. Lokasi sy jg di ibukota, blom di desa.;3;28/01/2024 06.18;0;;
Asep Maulana;baik;5;28/01/2024 06.07;82.00.05;;
Ar Xny;terimakasih jadi mudah beli paket;5;28/01/2024 06.03;82.00.05;;
Blackhole;sangat membantu👍👍;5;28/01/2024 06.03;81.16.00;;
Fat' Just NPC;Apk nya membantu banget, apalagi bisa tuker poin dari hasil isi pulsa, meskipun kadang ada beberapa kendala, tapi im3 menebus kendala itu;4;28/01/2024 05.54;82.00.02;;
Ndin 0807;Sinyaal ancuuuuuuuuurrrrr;1;28/01/2024 05.52;82.00.02;;
Muhammad Rizki Fadillah;Sinyal makin jelek jagn beli;1;28/01/2024 05.48;81.16.00;;
Kelvin Kelvin;ok;1;28/01/2024 05.45;82.00.05;;
Rachel Amelia;bagus sekali;5;28/01/2024 05.45;81.16.00;;
RIKOO STORE;Bismillahirrahmanirrahim kuota gratis.;5;28/01/2024 05.39;0;;
Batisya fauzana;Aplikasi im3 sangat membantu saya.;5;28/01/2024 05.38;81.13.00;;
Akun Essa;customer service nya pada ga bener, pulsa saya kepotong tapi tidak diberi solusi malah menghilang. pulsa saya juga selalu terpotong ga tau alasannya apa layanan konten lah tp customer service nya aja ga ngerti. mending ganti kartu gasi kalo layanannya aja gini 😾😾😾;1;28/01/2024 05.35;0;;
Haditianur;Jangan jelek;1;28/01/2024 05.29;0;;
Ferdi Ansyah;baik;3;28/01/2024 05.29;82.00.05;;
Sihotanglah;semoga jaringan internet my IM3 makin ditingkatkan;4;28/01/2024 05.24;81.16.00;;
Aldo Tanesab;bagus sekali;4;28/01/2024 05.15;82.00.05;;
Agung Aditya;Harga paketan selangit, sinyal sulit, itu sangat cocok untuk mendeskripsikan im3 di daerah saya;1;28/01/2024 05.14;82.00.02;;
vatz elite;Jaringan lemot sekali sudah hampir satu mingu Kecewa saya dengan indosat;1;28/01/2024 05.09;0;;
Dika Saputra;Saya lebih suka menggunakan;5;28/01/2024 05.06;82.00.05;;
Samsung Galacy;mantap;5;28/01/2024 05.04;82.00.05;;
Yati Nuryati;i m3 sngat bagus bisa tukar poin lagi;5;28/01/2024 05.03;82.00.05;;
Momon Momon;rekomendit;5;28/01/2024 04.56;82.00.05;;
Ratna Prabawani;bagus bgt;5;28/01/2024 04.56;82.00.05;;
Septian Dwi Raharjo;👍;5;28/01/2024 04.46;82.00.02;;
Mohammad Elvanoriza;Alhamdulillah;5;28/01/2024 04.44;82.00.03;;
Solekhanto;Tolong diperbaiki sering gangguan dan sinyal buruk 🙏 dulu awal pakai bagus 2aja;3;28/01/2024 04.41;82.00.05;;
Bugis01 01;sangat bagus;4;28/01/2024 04.41;82.00.04;;
Regito Adam;kartu gblk masa pulsa 100k tinggal 80k cuman ditinggal tdur bentar udah dari dulu sering kesedot sendiri.;1;28/01/2024 04.29;81.16.00;;
Faisal Fadly;bagus lah;3;28/01/2024 04.23;82.00.05;;
Saroh BT Udan;bagus mendukung;2;28/01/2024 04.20;82.00.05;;
meta fitrilia;cukup baik. tpi agak mahal. dri krtu m3 lainnya;4;28/01/2024 04.18;82.00.05;;
Gema Adi praja;Kode otp sering gk masuk;1;28/01/2024 04.12;82.00.02;;
Indria Miranti;Haahhh bacot doang,lelet,kek telek;1;28/01/2024 04.12;81.16.00;;
Wirianti 27;Sangat kecewa dengan pelayanan myim3 mengapa paket saya tibatiba hilang. Saya membeli paket 100gb berlaku 30 hari tetapi baru 10 hari kuota saya yang masih tersisa 50gb tiba-tiba hilang tanpa ada pemberitahuan via sms tibatiba membeli paket darurat secara otomatis. Seharusnya kuota saya masih banyak dan berlaku sampe 17 Februari. Benar benar merasa dirugikan dengan pelayanan myim3;1;28/01/2024 04.12;0;;
Den Aden;Kadang ke babi sinyal nya pihewaeun;1;28/01/2024 04.07;82.00.02;;
Chang Ali;banyakin lg bonus ny;5;28/01/2024 04.01;82.00.04;;
Minecraft Minecraft;Promonya bagus aku coba instal langsung dapat 1GB aku cek Kouta disini aku coba dari 2022 sampai 2024 terima kasih ya telah buat apk ini aku kasi bintang 5 karena saya sekarang 2024 dapa 1GB lagi gratis;5;28/01/2024 04.00;0;;
Atam Munawar;𝘔𝘯𝘵𝘢𝘱;5;28/01/2024 03.54;82.00.05;;
Rijki Pebriansah;Tambahin fitur save pulsa min;4;28/01/2024 03.51;0;;
arief budimulya;Saya pengguna im3 dari 2008 sampai saat ini dan tidak pernah ganti nomer,tapi knapa kok jaringan dari hari ke hari makin hancur coba tolong di perbaiki kecewa bangat sumpah,buka aplilasi buat cek kuota lemotnya minta ampun,masih cepetan keong kayanya...hahhhhhhhhhh;1;28/01/2024 03.50;81.16.00;;
Ihwan Ihwan;bagus;5;28/01/2024 03.47;82.00.05;;
Adit Saputra;kasih terus bonus;5;28/01/2024 03.46;82.00.05;;
HAMBA KREATIF;bagus.. kuota lebih murah dan sinyal bagus;5;28/01/2024 03.43;82.00.05;;
Yanto Huan;good;5;28/01/2024 03.31;82.00.02;;
Jd Jd;ok;4;28/01/2024 03.25;82.00.05;;
Hajar Aswad;Jaringan sering tiba-tiba E, sangat buruk. Harga paket data sangat mahal!;1;28/01/2024 03.20;81.15.00;;
Cika Titta;Haduh;2;28/01/2024 03.09;82.00.05;;
Lia Aja;Sangat baguss😍👍👍;5;28/01/2024 03.08;82.00.05;;
Irsyadh Munib;Kenapa Jaringan M3 akhir-akhir ini selalu gangguan,membuat kami pengguna m3 sangat tidak nyaman,tolonglah buat kami nyaman biar kami menjadi pengguna provider ini nyaman tidak lari ke provider lain, setiap hari gangguan lho;3;28/01/2024 03.04;0;;
Muammar;Pilihan paket bulanan tidak bisa dibuka,cuma paket promo doang yg bisa;3;28/01/2024 02.59;82.00.04;;
Jhon Termos;bagus;5;28/01/2024 02.45;82.00.05;;
free fireid;Maaf ini gimana yah makin hari kok internet nya makin lemot aja yah tolong dong dari perusahaan myIM3 untuk memperbaiki internet yang lemot ini apalagi di pedesaan internet nya lemot banget;2;28/01/2024 02.44;81.13.00;;
jojo ety;Im3 akhir2 ini sinyalnya erorr mulu... Padahal saya kerjanya pake nih kartu.. kalo sinyalnya ilang2an mulu gimana bisa lancar.. payah. Harus mikir untuk ganti yg lebih bagus nih kalo begini terus.;1;28/01/2024 02.44;0;;
Asep _ahlan;Indosat makin sini makin kurang memuaskan(2024), udah peket datanya makin mahal sama jaringan nya naik turun bikin males beraktivitas di media menggunakan jaringan Indosat;1;28/01/2024 02.43;81.11.00;;
sabirin Sabirin;Tidak ada bonus tiap hari nya kaya axiata;1;28/01/2024 02.37;81.12.00;;
Muhammad Mudini;Sering macet sinyal termasuk sekarang;5;28/01/2024 02.23;82.00.05;;
Oppa Gntg;Jaringannya bagus diawal dong lama jg lemot msh bagusan Telkom;1;28/01/2024 02.17;0;;
Karnadi Jo;Lemot;1;28/01/2024 02.07;81.16.00;;
KhoirulHuda Huda;sangat menarik;3;28/01/2024 02.04;82.00.05;;
Dedet Suredet;Lagi asik asik main malah lemot jaringan apaini yg bisa bikin lemot;1;28/01/2024 02.00;82.00.04;;
Eden;mantap;5;28/01/2024 01.59;82.00.05;;
Anton Mobile;bagus,sngat membantu;5;28/01/2024 01.54;82.00.03;;
Leji Saputra;mantap lebih kasih Kouta yang banyak ya my m3🙏🙏☺️;5;28/01/2024 01.44;82.00.05;;
Almaira Radisty;Kunaon sinyal teh goreng wae aing ker maen epep ngeleg wae jabii teh;1;28/01/2024 01.42;0;;
Hendra Hariri;Rugi gw beli kuota buat nikmati jaringan lelet padahal sinyal full, mohon cepat di atasi;1;28/01/2024 01.29;0;;
Berlian Rafli;mantap;5;28/01/2024 01.18;82.00.02;;
Yuyun Dhe;seru sekali aku suka di kasih Kouta gratis;5;28/01/2024 01.17;0;;
Marhenda_Raf;Cie suka potong potong pulsa orang ciee, dah gitu tanpa alasan jelas pula. Sangat dislike;1;28/01/2024 01.16;0;;
Mauza Jibran;terimakasih;5;28/01/2024 01.16;82.00.05;;
rohman;ok;1;28/01/2024 01.16;82.00.03;;
Eko Prastiyo;sangat bgus 👍👍👍;5;28/01/2024 01.03;82.00.05;;
Fuhla Kiyan;sinyalnya kmna woy;1;28/01/2024 00.51;81.10.01;;
Dika Prastyo;rekomendasi;5;28/01/2024 00.44;82.00.05;;
Kaefzethaa 17;gajelas ni im3. ngecek kuota di apl nya 1,5gb tapi malah dpt notif sms ktnya kuota tnggal 400mb an. mana paketnya skrg mahal bgt, padahal sering beli kuota, anying lah;1;28/01/2024 00.38;82.00.05;;
Adrial Indrawan;bgussss;5;28/01/2024 00.33;82.00.05;;
Yoga Pratama;sangat bagus dan mudah di pahami, semoga bisa lebih baik lagi dan banyak promo dan diskon diskon terimakasih;5;28/01/2024 00.31;82.00.05;;
Sayu Murdiani;ok oc;5;28/01/2024 00.30;81.16.00;;
Kakak Adek;Update lagi..;5;28/01/2024 00.23;82.00.04;;
Dimas Darmawan;banyak bug lebih suka yang dulu makin di update makin gajelas;1;28/01/2024 00.21;82.00.05;;
Saskia Herman;jaringan nya kurang bagus kalau hujan;3;28/01/2024 00.19;82.00.05;;
Devana Febi;Harga paket terlalu mahal;3;28/01/2024 00.16;81.16.00;;
Reyhan Muhammad;Lumayan membantu untuk cek kuota;5;28/01/2024 00.08;0;;
Aziz Aziz;Takseru;1;27/01/2024 23.54;0;;
Arifa Rifa;sering sering kasih gratis dta dog;4;27/01/2024 23.53;81.01.02;;
Zuki Zukiboy;sungguh mengesan kan di luar nurul🗿;5;27/01/2024 23.48;82.00.04;;
Pacong Siloten;Banyak Bonus ,Poin,dan Murah Meriah.;5;27/01/2024 23.41;82.00.05;;
Markus maxi Langoy;tingkatkan bonus sesering mungkin;5;27/01/2024 23.37;82.00.05;;
Fajar Fajar;Maap,sinyal gak ada adalah hal yang wajar😉;5;27/01/2024 23.37;82.00.05;;
Nadia Brigita Cahayani;Aplikasinya agak eror. No saya bukan no utama :(( bingung.;1;27/01/2024 23.34;82.00.05;;
Mardiana Diana;jngn tipu;1;27/01/2024 23.33;82.00.03;;
Steven Dauwe;"Sangat"" baik dan cukup memuaskan.";4;27/01/2024 23.30;82.00.05;;
Rio Rio;sangat membantu jika bisa saya rekomendasikan untuk transaksi membeli kuota bisa secara offline agar lebih mudah;5;27/01/2024 23.25;82.00.05;;
Den Nis;pengen data;5;27/01/2024 23.12;82.00.02;;
Endy Mirsan indo;Apl siip;5;27/01/2024 23.12;82.00.05;;
Epul Saepullah;bagus;5;27/01/2024 23.06;82.00.02;;
Siti Masitoh;aplikasi ini sangat bagus;5;27/01/2024 23.00;82.00.05;;
Rizky Nation;tenksyooo;5;27/01/2024 22.54;81.16.00;;
Taufik Hidayat;baik;5;27/01/2024 22.27;82.00.05;;
Hendra Suryawan;Kok jadi gak bisa beli paketan disini, gagal terus... Tolong diperbaiki... Klo sudah bisa lagi nanti bintang saya kasih 5 lagi...;5;27/01/2024 22.26;82.00.05;;
Ifatul Magfiroh;mantap;5;27/01/2024 22.11;82.00.05;;
elang hernawan;mohon perbaiki dan tingkatkan. utk promo.terimakasih;5;27/01/2024 21.42;0;;
Muhkarom Xxx;Semakin buruk sinyal+ playanan;1;27/01/2024 21.11;82.00.02;;
Eddy Saputra;Gangguan mulu anjg indosat Niat gak lu tolol;1;27/01/2024 21.05;0;;
Dedy kebbob;baik;5;27/01/2024 20.31;82.00.05;;
Feri Rambo;Sering gangguan gamang sinyal lost parah dah makin kesisi bukan makin memperbaiki,tapi palah banyak erornya,udah paketan mahal2 sinyal susah hilang2;1;27/01/2024 20.25;0;;
wahyu saputra;🙈;1;27/01/2024 19.17;82.00.05;;
Adil Iksanmaulana;Terimakasih mylM3: udah ngasih kuota gratis;5;27/01/2024 19.03;82.00.02;;
sugali arse;bagus;5;27/01/2024 19.01;82.00.04;;
Bayu Muhlisoh;Thank you, i like Indosat 🥰;5;27/01/2024 18.49;82.00.02;;
MonXp;Harga paket makin mahal,kouta makin boros gak kaya biasanya,padahal pemakain biasa kek sebelumya.;1;27/01/2024 18.46;82.00.05;;
J Jius;mantap;5;27/01/2024 18.40;82.00.05;;
Deden Rusmawan;beri bonus dong;5;27/01/2024 18.36;81.14.02;;
Nur Rahman;Bagus banget;5;27/01/2024 18.29;82.00.05;;
Jana Sujanaa78;ok bgt mksih indosat...jaringan y luar biasa...👍👍👍👍;5;27/01/2024 18.24;82.00.05;;
